1,Laptop_1,22788463,870,3.8
2,Laptop_2,41093502,391,1.7
3,Laptop_3,21411069,448,2
4,Laptop_4,36907027,659,3.3
5,Laptop_5,26585201,810,4.9
6,Laptop_6,5189766,9,2.3
7,Laptop_7,19821441,172,4
8,Laptop_8,44744945,991,2.7
9,Laptop_9,37263650,999,4.1
10,Laptop_10,24903302,124,3.7
11,Laptop_11,11288544,823,1.7
12,Laptop_12,14538896,958,1.6
13,Laptop_13,6770805,832,4.7
14,Laptop_14,8692857,105,3.9
15,Laptop_15,16443135,449,4.1
16,Laptop_16,48843099,488,4.2
17,Laptop_17,7770024,978,4.8
18,Laptop_18,13052418,961,1.3
19,Laptop_19,15809931,1000,1
20,Laptop_20,48693166,960,3.5
21,Laptop_21,27262504,31,3.6
22,Laptop_22,41863257,218,3.8
23,Laptop_23,31046126,757,1.6
24,Laptop_24,40277037,329,5
25,Laptop_25,26545202,579,2.8
26,Laptop_26,26346431,261,4.7
27,Laptop_27,31565420,353,3.7
28,Laptop_28,41852051,751,2.5
29,Laptop_29,18077312,839,3.3
30,Laptop_30,5291038,183,2.2
31,Laptop_31,25323858,841,1.8
32,Laptop_32,16261263,691,2.1
33,Laptop_33,16257946,704,4.1
34,Laptop_34,29800139,720,1.7
35,Laptop_35,21480507,799,3
36,Laptop_36,6378907,202,2.6
37,Laptop_37,9972144,890,2.1
38,Laptop_38,7854936,88,1.7
39,Laptop_39,35736734,492,4.4
40,Laptop_40,34890255,636,4.6
41,Laptop_41,42736196,767,4.1
42,Laptop_42,34103328,204,2.4
43,Laptop_43,47502809,510,4.5
44,Laptop_44,31129807,809,3
45,Laptop_45,19894839,92,2.6
46,Laptop_46,18552929,262,1.8
47,Laptop_47,26501552,511,4.6
48,Laptop_48,46498308,945,3.8
49,Laptop_49,40030192,457,3.3
50,Laptop_50,44025065,591,1.5
51,Laptop_51,45840075,786,3.6
52,Laptop_52,26217561,749,4.5
53,Laptop_53,19830560,219,4.7
54,Laptop_54,41804167,793,4.6
55,Laptop_55,20653349,403,3.9
56,Laptop_56,23497605,74,3.3
